phi (yaw) [deg]     theta (pitch) [deg]   psi (roll) [deg]
-----------------------------------------------------------
    349.90°               -3.85°               -2.43°
    349.91°               -3.85°               -2.44°
    349.91°               -3.85°               -2.43°
    349.91°               -3.85°               -2.42°
    349.91°               -3.85°               -2.43°
    349.91°               -3.85°               -2.42°
    349.91°               -3.85°               -2.41°
    349.91°               -3.85°               -2.42°
    349.91°               -3.85°               -2.42°
    349.91°               -3.84°               -2.42°
    349.91°               -3.84°               -2.42°
    349.91°               -3.84°               -2.42°
    349.91°               -3.83°               -2.43°
    349.92°               -3.83°               -2.43°
    349.92°               -3.83°               -2.43°
    349.92°               -3.83°               -2.43°
    349.92°               -3.83°               -2.43°
    349.92°               -3.82°               -2.43°
    349.92°               -3.82°               -2.43°
    349.92°               -3.82°               -2.44°
    349.92°               -3.82°               -2.44°
    349.92°               -3.81°               -2.44°
    349.92°               -3.81°               -2.44°
    349.92°               -3.81°               -2.43°
    349.92°               -3.81°               -2.44°
    349.92°               -3.81°               -2.44°
    349.92°               -3.80°               -2.44°
    349.92°               -3.80°               -2.44°
    349.92°               -3.81°               -2.45°
    349.92°               -3.81°               -2.45°
    349.92°               -3.81°               -2.45°
    349.92°               -3.81°               -2.45°
    349.92°               -3.81°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.80°               -2.45°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.46°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.44°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
    349.92°               -3.79°               -2.45°
